Search term	Impressions	Clicks	CTR	CPC	Spend	Seven_Day_Total_Sales	ACoS	RoAS	Seven_Day_Total_Orders	Seven_Day_Total_Units	Seven_Day_Total_Rate	Seven_Day_Advertised_SKU_Units	Seven_Day_Other_SKU_Units	Seven_Day_Advertised_SKU_Sales	Seven_Day_Other_SKU_Sales = 22	
anniversary gifts for boss	     2.000	     1.000	     0.500	     0.610	     0.610	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever mug	 10068.000	   153.000	     0.015	    70.780	   128.090	   493.650	     0.259	   387.820	    39.000	    39.000	  2545.408	    38.000	     1.000	   467.650	     0.000
boss leaving gift	   227.000	    10.000	     0.044	     3.450	     5.220	    25.230	     0.207	    31.670	     2.000	     2.000	   133.333	     2.000	     0.000	    25.230	     0.000
office gifts for boss	     3.000	     2.000	     0.667	     1.310	     1.310	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever gifts	  3412.000	    54.000	     0.016	    34.610	    41.300	   125.900	     0.328	   152.130	     9.000	    10.000	   750.000	    10.000	     0.000	   125.900	     0.000
gifts for female boss	    91.000	     5.000	     0.055	     2.480	     2.480	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for boss female	   333.000	    10.000	     0.030	     2.290	     5.430	    12.890	     0.421	    14.480	     1.000	     1.000	   100.000	     1.000	     0.000	    12.890	     0.000
world's greatest boss mug	    54.000	     6.000	     0.111	     3.460	     4.130	    12.140	     0.340	    27.590	     1.000	     1.000	   100.000	     1.000	     0.000	    12.140	     0.000
worlds best boss mug the office	  1319.000	    13.000	     0.010	     8.010	    10.300	    13.120	     0.785	    16.400	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
best boss coffee mug	  2051.000	    42.000	     0.020	    24.770	    32.890	   151.290	     0.217	   115.090	    11.000	    11.000	   735.000	    11.000	     0.000	   138.410	     0.000
best boss ever	  4394.000	    88.000	     0.020	    29.140	    65.020	   309.530	     0.210	   139.520	    21.000	    24.000	   721.166	    24.000	     0.000	   296.540	     0.000
boss day gifts	 16963.000	    71.000	     0.004	    23.510	    53.000	   104.210	     0.509	    51.510	     8.000	     8.000	   320.553	     8.000	     0.000	   104.210	     0.000
boss mug	 20798.000	    89.000	     0.004	    42.100	    69.990	   128.750	     0.544	    90.800	    10.000	    10.000	   523.718	     8.000	     2.000	   103.160	     0.000
world’s best boss mug	   426.000	    12.000	     0.028	     6.160	     8.280	    10.400	     0.796	     4.580	     1.000	     1.000	    33.333	     1.000	     0.000	    10.400	     0.000
best boss mug	 47241.000	   338.000	     0.007	    98.140	   259.260	  1155.720	     0.224	   468.360	    86.000	    94.000	  2910.822	    91.000	     3.000	  1115.660	     0.000
world best boss mug	  6117.000	    63.000	     0.010	    28.170	    48.980	   135.100	     0.363	    94.590	    11.000	    11.000	   570.830	    10.000	     1.000	   122.110	     0.000
worlds best boss mug	 55411.000	   221.000	     0.004	    64.810	   160.590	   588.940	     0.273	   261.190	    43.000	    47.000	  1300.866	    44.000	     3.000	   552.190	     0.000
